term	CRIS_specific_bigram	CRIS_general_bigram	MIMIC_bigram	A1	A2
auditory_hallucinations	Y	Y	Y	1	1
hallucination	Y	Y	Y	1	1
visual_hallucinations	Y	Y	Y	1	1
hallucinatory_experiences	Y	Y	N	1	1
perceptual_abnormalities	Y	Y	N	2	2
perceptual_disturbances	Y	Y	N	2	2
abnormal_perceptions	Y	Y	N	1	1
auditory_hallucination	Y	Y	N	1	1
command_hallucinations	Y	Y	N	1	1
visual_hallucination	Y	Y	N	1	1
hallucinatory_phenomena	Y	Y	N	1	1
olfactory_hallucinations	Y	Y	N	1	1
passivity_phenomena	Y	Y	N	1	1
hallucinatory	Y	Y	N	1	1
delusional_ideas	Y	Y	N	1	1
delusion	Y	Y	N	1	1
delusional_beliefs	Y	Y	N	1	1
ideas	Y	N	N	3	2
persecutory_delusions	Y	Y	N	1	1
delusional_ideation	Y	N	N	1	1
grandiose_delusions	Y	Y	N	1	1
paranoid_delusions	Y	Y	N	1	1
grandiose_beliefs	Y	Y	N	2	2
overvalued_ideas	Y	Y	N	2	2
paranoid_beliefs	Y	Y	N	2	2
persecutory_beliefs	Y	Y	N	2	2
grandiose_ideation	Y	N	N	2	2
persecutory_ideation	Y	N	N	2	2
beliefs	Y	Y	N	3	2
illusions	Y	N	N	2	2
persecutory	Y	Y	N	2	2
grandiose	Y	Y	N	2	2
psychotic	Y	Y	Y	1	1
referential	Y	N	N	2	2
paranoid_ideation	Y	N	N	2	2
paranoid_ideas	Y	Y	N	2	2
suspiciousness	Y	Y	N	2	2
paranoid_ideations	Y	N	N	2	2
paranoid	Y	Y	Y	2	2
disjointed	Y	Y	N	2	2
over_inclusive	Y	Y	N	2	2
incoherent	Y	Y	Y	2	2
pressured	Y	Y	N	2	2
fragmented	Y	N	N	3	3
thought_disordered	Y	Y	N	1	1
thought_blocked	Y	Y	N	1	1
rambling	Y	Y	N	2	3
tangentiality	Y	Y	N	2	2
irrelevant	Y	Y	N	3	3
somewhat_tangential	Y	N	N	2	2
circumferential	Y	Y	N	3	3
thought_blocking	Y	Y	N	2	1
tangential_thinking	Y	Y	N	2	2
stilted	Y	N	N	2	3
disordered	Y	Y	N	2	2
tangentially	Y	Y	N	3	2
convoluted	Y	Y	N	3	3
monosyllabic	Y	Y	N	2	3
elliptical	Y	N	N	3	3
softly_spoken	Y	N	N	2	3
interruptible	Y	Y	N	2	3
pauses	Y	N	N	3	2
long_pauses	Y	N	N	2	3
illogical	Y	Y	N	2	2
loosening	Y	Y	N	3	2
loose_associations	Y	N	N	1	2
pressured_speech	Y	Y	N	2	1
perseveration	Y	Y	N	2	3
knights_move	Y	N	N	2	2
grandiosity	Y	Y	N	2	2
incoherence	Y	Y	N	2	2
paucity	Y	Y	N	3	2
tangential_answers	Y	N	N	2	2
echolalia	Y	N	N	1	2
flat_affect	Y	N	N	2	2
inappropriate_laughter	Y	N	N	2	3
delusional_content	Y	Y	N	1	1
associations	Y	Y	N	3	2
derailed	Y	N	N	3	2
perplexity	Y	Y	N	2	3
elated_mood	Y	N	N	2	2
distractibility	Y	N	N	2	3
passivity_phenomenon	Y	Y	N	1	1
passivity	Y	Y	N	1	1
thought_insertion	Y	Y	N	1	1
passivity_experiences	Y	N	N	2	1
thought_withdrawal	Y	N	N	1	1
thought_broadcast	Y	Y	N	1	1
perceptual_disturbance	Y	Y	N	2	2
insertion	Y	Y	N	3	2
thought_echo	Y	N	N	1	1
abnormal_perception	Y	N	N	1	1
hallucinatory_experience	Y	Y	N	1	1
thought_broadcasting	Y	Y	N	1	1
broadcast	Y	Y	N	3	2
abnormal_beliefs	Y	N	N	1	1
insertion_withdrawal	Y	Y	N	3	2
gustatory_hallucinations	Y	N	N	1	1
bizarre_ideas	Y	N	N	1	2
unusual_beliefs	Y	Y	N	2	2
grandiose_ideas	Y	Y	N	2	2
paranoid_delusion	Y	Y	N	1	1
persecutory_delusion	Y	Y	N	1	1
religious_themes	Y	N	N	2	2
preoccupations	Y	N	N	2	3
olfactory	Y	Y	N	2	2
tactile_hallucination	Y	Y	N	1	1
auditory_visual	Y	N	Y	3	2
gustatory	Y	Y	N	3	2
tactile	Y	Y	N	2	2
visual_illusions	Y	N	N	2	2
hallucinatory_phenomenon	Y	N	N	1	1
commentary	Y	Y	N	3	2
commands	Y	Y	N	3	2
running_commentaries	Y	N	N	2	2
acutely_psychotic	Y	Y	N	1	1
insightless	Y	Y	N	2	3
abnormal_mode	Y	N	N	3	2
nihilistic_ideas	Y	N	N	2	2
auditory	Y	Y	N	3	2
olfactory_hallucination	Y	N	N	1	1
visual	Y	Y	N	3	3
phenomena	Y	Y	N	3	3
pseudo_hallucinations	Y	Y	N	2	2
visual_disturbances	Y	Y	Y	2	3
referential_experiences	Y	N	N	2	2
occasional_panic	Y	N	N	2	3
attacks_serious	Y	N	N	3	3
mild_insomnia	Y	N	N	2	3
quasi_psychotic	Y	N	N	2	2
spia_basic	Y	N	N	3	3
prominent_negative	Y	N	N	3	2
severe_obsessional	Y	N	N	2	3
systematised_delusional	Y	Y	N	1	2
punning	Y	Y	N	2	3
ah	N	Y	N	3	3
psychotic_phenomena	N	Y	N	1	1
psychotic_symptoms	N	Y	N	1	1
hallucnations	N	Y	N	1	1
halucinations	N	Y	Y	1	1
halluciations	N	Y	N	1	1
halluciantions	N	Y	N	1	1
hallicinations	N	Y	N	1	1
hallucinatons	N	Y	N	1	1
hallucinating	N	Y	Y	1	1
halluicnations	N	Y	N	1	1
hallucinaitons	N	Y	N	1	1
religious_delusions	N	Y	N	1	1
nihilistic_delusions	N	Y	N	1	1
bizarre_beliefs	N	Y	N	1	2
delusional_belief	N	Y	N	1	1
odd_beliefs	N	Y	N	2	2
delusional_beleifs	N	Y	N	1	1
fixed_delusions	N	Y	N	1	1
deletion	N	Y	N	3	2
overvalued	N	Y	N	2	2
paranoid_persecutory	N	Y	N	2	2
fixed_delusional	N	Y	N	1	1
persecutory_delusional	N	Y	N	1	1
over_valued	N	Y	N	2	2
nihilistic	N	Y	N	2	3
delusionary	N	Y	N	3	1
irritability	N	Y	N	2	3
elation	N	Y	N	2	2
disorganised	N	Y	N	3	2
repetitive	N	Y	N	2	3
perseverative	N	Y	N	2	3
