term	CRIS_specific_unigram	CRIS_general_unigram	MIMIC_unigram	PubMed_unigram	A1	A2
hallucination	Y	Y	Y	Y	1	1
paranoid	Y	Y	Y	Y	2	2
hallucinatory	Y	Y	N	Y	1	1
delusion	Y	Y	N	Y	1	1
persecutory	Y	Y	N	Y	2	2
suspiciousness	Y	Y	N	Y	2	2
incoherent	Y	Y	Y	N	2	2
rambling	Y	Y	Y	N	2	3
tangentially	Y	Y	N	Y	3	2
grandiosity	Y	Y	N	Y	2	2
hallucinating	N	Y	Y	Y	1	1
ideas	Y	Y	N	N	3	2
beliefs	Y	Y	N	N	3	2
grandiose	Y	Y	N	N	2	2
overvalued	Y	Y	N	N	2	2
irritability	Y	Y	N	N	2	3
disjointed	Y	Y	N	N	2	2
tangentiality	Y	Y	N	N	2	2
derailed	Y	N	N	Y	3	2
circumferential	Y	Y	N	N	3	3
impoverished	Y	Y	N	N	3	3
incoherence	Y	Y	N	N	2	2
disorganised	Y	Y	N	N	3	2
loosening	Y	Y	N	N	3	2
halucinations	N	Y	Y	N	1	1
psychotic	N	N	Y	Y	1	1
ideation	Y	N	N	N	3	2
illusions	Y	N	N	N	2	2
nihilistic	Y	N	N	N	2	3
pressured	Y	N	N	N	2	2
elliptical	Y	N	N	N	3	3
halting	Y	N	N	N	3	3
fragmented	Y	N	N	N	3	3
hesitant	Y	N	N	N	2	3
monotonous	Y	N	N	N	2	3
disorganized	Y	N	N	N	3	2
expansive	Y	N	N	N	2	3
interruptible	Y	N	N	N	2	3
associations	Y	N	N	N	3	2
perseveration	Y	N	N	N	2	3
ftd	Y	N	N	N	1	2
poverty	Y	N	N	N	3	3
punning	Y	N	N	N	2	3
hallicinations	N	Y	N	N	1	1
hallucinaitons	N	Y	N	N	1	1
hallucinatons	N	Y	N	N	1	1
hallucations	N	Y	N	N	1	1
halluciantions	N	Y	N	N	1	1
halluciations	N	Y	N	N	1	1
halluicnations	N	Y	N	N	1	1
hallucs	N	Y	N	N	3	1
hallucnations	N	Y	N	N	1	1
beleifs	N	Y	N	N	3	2
deletion	N	Y	N	N	3	2
delusionary	N	Y	N	N	3	1
religious	N	Y	N	N	2	2
perplexity	N	Y	N	N	2	3
parnoid	N	Y	N	N	2	2
perseverative	N	Y	N	N	2	3
overinclusive	N	Y	N	N	2	3
verbose	N	Y	N	N	2	3
overtalkative	N	Y	N	N	2	3
illogical	N	Y	N	N	2	2
uninterruptible	N	Y	N	N	2	3
irrelevant	N	Y	N	N	3	3
neologism	N	Y	N	N	2	2
looseness	N	Y	N	N	3	3
clanging	N	Y	N	N	2	2
linear	N	Y	N	N	2	3
ideations	N	N	Y	N	3	2
disorientation	N	N	Y	N	2	3
forgetfulness	N	N	Y	N	2	3
delirious	N	N	Y	N	2	3
impulsive	N	N	Y	N	2	3
manipulative	N	N	Y	N	2	3
bizarre	N	N	Y	N	3	2
confusion	N	N	Y	N	2	3
tremulousness	N	N	Y	N	2	3
sundowning	N	N	Y	N	2	3
delerium	N	N	Y	N	2	3
delirium	N	N	Y	N	2	3
manic	N	N	Y	N	2	1
nonsensical	N	N	Y	N	2	3
pseudohallucinations	N	N	N	Y	2	2
hallucinators	N	N	N	Y	1	1
non-bizarre	N	N	N	Y	2	3
delusion-like	N	N	N	Y	3	1
obsessional	N	N	N	Y	2	3
hypochondriacal	N	N	N	Y	2	3
nondelusional	N	N	N	Y	2	3
hopelessness	N	N	N	Y	2	3
dysphoria	N	N	N	Y	2	3
hostility	N	N	N	Y	2	2
psychoticism	N	N	N	Y	2	1
schizoid	N	N	N	Y	2	3
bad-me	N	N	N	Y	3	3
obsessionality	N	N	N	Y	3	3
anhedonia	N	N	N	Y	2	3
jealousy	N	N	N	Y	2	2
depersonalization	N	N	N	Y	2	3
self-criticism	N	N	N	Y	2	3
tangenital	N	N	N	Y	2	2
tangentials	N	N	N	Y	3	2
tangencial	N	N	N	Y	2	2
tangents	N	N	N	Y	3	2
nontangential	N	N	N	Y	3	3
circumstancial	N	N	N	Y	2	2
derailments	N	N	N	Y	2	2
derailing	N	N	N	Y	3	2
