term	early_services_bigram_size100_window5_mincount5	discharge_summaries_bigram_size100_window5_mincount5	mimic_bigram_size100_window5_mincount5	overlap	is_bigram	in_unigram_list	RP	RS
auditory_hallucinations	VERO	VERO	VERO	3	9	#N/D	1	1
hallucination	VERO	VERO	VERO	3	#VALORE!	hallucination	1	1
visual_hallucinations	VERO	VERO	VERO	3	7	#N/D	1	1
hallucinatory_experiences	VERO	VERO	FALSO	2	14	#N/D	1	1
perceptual_abnormalities	VERO	VERO	FALSO	2	11	#N/D	2	2
perceptual_disturbances	VERO	VERO	FALSO	2	11	#N/D	2	2
abnormal_perceptions	VERO	VERO	FALSO	2	9	#N/D	1	1
auditory_hallucination	VERO	VERO	FALSO	2	9	#N/D	1	1
command_hallucinations	VERO	VERO	FALSO	2	8	#N/D	1	1
visual_hallucination	VERO	VERO	FALSO	2	7	#N/D	1	1
hallucinatory_phenomena	VERO	VERO	FALSO	2	14	#N/D	1	1
olfactory_hallucinations	VERO	VERO	FALSO	2	10	#N/D	1	1
passivity_phenomena	VERO	VERO	FALSO	2	10	#N/D	1	1
hallucinatory	VERO	VERO	FALSO	2	#VALORE!	hallucinatory	1	1
delusional_ideas	VERO	VERO	FALSO	2	11	#N/D	1	1
delusion	VERO	VERO	FALSO	2	#VALORE!	delusion	1	1
delusional_beliefs	VERO	VERO	FALSO	2	11	#N/D	1	1
ideas	VERO	FALSO	FALSO	1	#VALORE!	ideas	3	2
persecutory_delusions	VERO	VERO	FALSO	2	12	#N/D	1	1
delusional_ideation	VERO	FALSO	FALSO	1	11	#N/D	1	1
grandiose_delusions	VERO	VERO	FALSO	2	10	#N/D	1	1
paranoid_delusions	VERO	VERO	FALSO	2	9	#N/D	1	1
grandiose_beliefs	VERO	VERO	FALSO	2	10	#N/D	2	2
overvalued_ideas	VERO	VERO	FALSO	2	11	#N/D	2	2
paranoid_beliefs	VERO	VERO	FALSO	2	9	#N/D	2	2
persecutory_beliefs	VERO	VERO	FALSO	2	12	#N/D	2	2
grandiose_ideation	VERO	FALSO	FALSO	1	10	#N/D	2	2
persecutory_ideation	VERO	FALSO	FALSO	1	12	#N/D	2	2
beliefs	VERO	VERO	FALSO	2	#VALORE!	beliefs	3	2
illusions	VERO	FALSO	FALSO	1	#VALORE!	illusions	2	2
persecutory	VERO	VERO	FALSO	2	#VALORE!	persecutory	2	2
grandiose	VERO	VERO	FALSO	2	#VALORE!	grandiose	2	2
psychotic	VERO	VERO	VERO	3	#VALORE!	psychotic	1	1
referential	VERO	FALSO	FALSO	1	#VALORE!	#N/D	2	2
paranoid_ideation	VERO	FALSO	FALSO	1	9	#N/D	2	2
paranoid_ideas	VERO	VERO	FALSO	2	9	#N/D	2	2
suspiciousness	VERO	VERO	FALSO	2	#VALORE!	suspiciousness	2	2
paranoid_ideations	VERO	FALSO	FALSO	1	9	#N/D	2	2
paranoid	VERO	VERO	VERO	3	#VALORE!	paranoid	2	2
disjointed	VERO	VERO	FALSO	2	#VALORE!	disjointed	2	2
over_inclusive	VERO	VERO	FALSO	2	5	#N/D	2	2
incoherent	VERO	VERO	VERO	3	#VALORE!	incoherent	2	2
pressured	VERO	VERO	FALSO	2	#VALORE!	pressured	2	2
fragmented	VERO	FALSO	FALSO	1	#VALORE!	fragmented	3	3
thought_disordered	VERO	VERO	FALSO	2	8	#N/D	1	1
thought_blocked	VERO	VERO	FALSO	2	8	#N/D	1	1
rambling	VERO	VERO	FALSO	2	#VALORE!	rambling	2	3
tangentiality	VERO	VERO	FALSO	2	#VALORE!	tangentiality	2	2
irrelevant	VERO	VERO	FALSO	2	#VALORE!	irrelevant	3	3
somewhat_tangential	VERO	FALSO	FALSO	1	9	#N/D	2	2
circumferential	VERO	VERO	FALSO	2	#VALORE!	circumferential	3	3
thought_blocking	VERO	VERO	FALSO	2	8	#N/D	2	1
tangential_thinking	VERO	VERO	FALSO	2	11	#N/D	2	2
stilted	VERO	FALSO	FALSO	1	#VALORE!	#N/D	2	3
disordered	VERO	VERO	FALSO	2	#VALORE!	#N/D	2	2
tangentially	VERO	VERO	FALSO	2	#VALORE!	tangentially	3	2
convoluted	VERO	VERO	FALSO	2	#VALORE!	#N/D	3	3
monosyllabic	VERO	VERO	FALSO	2	#VALORE!	#N/D	2	3
elliptical	VERO	FALSO	FALSO	1	#VALORE!	elliptical	3	3
softly_spoken	VERO	FALSO	FALSO	1	7	#N/D	2	3
interruptible	VERO	VERO	FALSO	2	#VALORE!	interruptible	2	3
