term	early_services_unigram_size100_window5_mincount5	discharge_summaries_unigram_size100_window5_mincount5	mimic_unigram_size100_window5_mincount5	pubmed_unigram_size200_window5	overlap	RP	RS
hallucination	VERO	VERO	VERO	VERO	4	1	1
paranoid	VERO	VERO	VERO	VERO	4	2	2
hallucinatory	VERO	VERO	FALSO	VERO	3	1	1
delusion	VERO	VERO	FALSO	VERO	3	1	1
persecutory	VERO	VERO	FALSO	VERO	3	2	2
suspiciousness	VERO	VERO	FALSO	VERO	3	2	2
incoherent	VERO	VERO	VERO	FALSO	3	2	2
rambling	VERO	VERO	VERO	FALSO	3	2	3
tangentially	VERO	VERO	FALSO	VERO	3	3	2
grandiosity	VERO	VERO	FALSO	VERO	3	2	2
hallucinating	FALSO	VERO	VERO	VERO	3	1	1
ideas	VERO	VERO	FALSO	FALSO	2	3	2
beliefs	VERO	VERO	FALSO	FALSO	2	3	2
grandiose	VERO	VERO	FALSO	FALSO	2	2	2
overvalued	VERO	VERO	FALSO	FALSO	2	2	2
irritability	VERO	VERO	FALSO	FALSO	2	2	3
disjointed	VERO	VERO	FALSO	FALSO	2	2	2
tangentiality	VERO	VERO	FALSO	FALSO	2	2	2
derailed	VERO	FALSO	FALSO	VERO	2	3	2
circumferential	VERO	VERO	FALSO	FALSO	2	3	3
impoverished	VERO	VERO	FALSO	FALSO	2	3	3
incoherence	VERO	VERO	FALSO	FALSO	2	2	2
disorganised	VERO	VERO	FALSO	FALSO	2	3	2
loosening	VERO	VERO	FALSO	FALSO	2	3	2
halucinations	FALSO	VERO	VERO	FALSO	2	1	1
psychotic	FALSO	FALSO	VERO	VERO	2	1	1
ideation	VERO	FALSO	FALSO	FALSO	1	3	2
illusions	VERO	FALSO	FALSO	FALSO	1	2	2
nihilistic	VERO	FALSO	FALSO	FALSO	1	2	3
pressured	VERO	FALSO	FALSO	FALSO	1	2	2
elliptical	VERO	FALSO	FALSO	FALSO	1	3	3
halting	VERO	FALSO	FALSO	FALSO	1	3	3
